Height,Width,Boardnum,TimeSeconds,emptyCells
10,10,007,41.73751950263977,72
10,10,008,6.158041477203369,66
10,10,015,5.0281078815460205,72
10,10,016,4.2305192947387695,68
10,10,017,21.709328174591064,70
10,10,018,34.558600425720215,68
10,10,024,6.241003036499023,57
10,10,029,24.88926124572754,70
10,10,031,48.81288552284241,76
10,10,032,5.227945566177368,66
10,10,033,300,70
10,10,36,0.91,56
10,10,37,1.33,50
10,10,38,1.01,54
10,10,40,2.41,54
10,10,41,1.88,56
10,10,59,0.89,56
10,10,60,5.25,66
10,10,61,8.48,66
10,10,62,38.77,70
10,10,63,104.37,64
10,10,64,>300,64
10,10,65,73.91,64
10,10,66,21.96,60
10,10,67,20.92,66
10,10,71,1.93,60
10,10,72,12.95,66
10,10,73,12.19,64
10,10,79,89.90,66
10,10,81,68.40,64
10,10,82,1.79,60
10,10,84,10.25,68
10,10,85,20.66,64
10,10,86,3.88,60
10,10,88,7.24,66
10,10,89,7.95,60
10,10,90,64.22,68
10,10,91,246.46,68
10,10,93,1.91,68
10,10,171,170.36,68
10,10,172,8.94,70
10,10,173,3.52,60
10,10,174,3.54,66
10,10,175,127.82,72
10,10,201,22.18,68
10,10,202,3.37,50
10,10,203,7.35,64
10,10,204,79.44,64
10,10,205,2.00,68
10,10,206,33.76,68
10,10,211,4.92,64
10,10,212,6.48,68
10,10,213,5.74,64
10,10,214,8.57,68
10,10,215,5.85,68
10,10,216,11.28,60
10,10,221,0.48,60
10,10,223,2.25,60
10,10,224,11.43,62
10,10,225,8.95,64
10,10,226,23.51,64
10,10,231,2.82,62
10,10,232,0.29,54
10,10,233,1.06,60
10,10,234,>300,76
10,10,245,1.43,50
10,10,246,1.97,60
10,10,247,32.13,68
10,10,248,17.80,69
10,10,249,49.17,71
10,10,250,1.68,60
10,10,255,129.15,73
10,10,256,5.34,68
10,10,257,269.48,73
10,10,258,39.50,69
10,10,259,8.10,64
10,10,260,86.58,67
10,10,262,>300,68
10,10,268,24.91,60
10,10,269,10.95,68
10,10,271,1.66,54
10,10,281,10.52,64
10,10,282,1.31,62
10,10,283,5.95,68
10,10,284,15.43,60
10,10,285,72.66,64
10,10,286,>300,70
10,10,287,1.98,58
10,10,291,>300,70
10,10,292,>300,72
10,10,293,1.70,68
10,10,294,22.98,74
10,10,295,174.36,78
10,10,296,2.07,66
10,10,297,5.07,58
10,10,301,25.47,68
10,10,302,>300,72
10,10,303,26.92,68
10,10,304,2.70,68
10,10,305,97.92,72
